ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","661.05","676.50","655.00","672.55","663.05","665.95","666.19","903.95","578.00","2,40,526","16,02,35,562.65","16,361"
"11-Aug-2025","EQ","671.55","684.95","661.30","691.35","674.00","672.55","672.66","903.95","578.00","3,53,354","23,76,87,303.65","18,474"
"08-Aug-2025","EQ","691.85","699.30","684.85","690.05","690.10","691.35","692.14","903.95","578.00","1,10,163","7,62,48,103.45","7,375"
"07-Aug-2025","EQ","705.00","709.95","679.00","709.95","697.00","690.05","694.51","903.95","578.00","2,42,515","16,84,29,041.30","16,434"
"06-Aug-2025","EQ","702.00","712.45","694.60","703.70","708.00","709.95","705.90","903.95","578.00","1,63,975","11,57,50,300.35","9,651"
"05-Aug-2025","EQ","702.90","717.80","696.55","698.80","704.00","703.70","706.62","903.95","578.00","2,38,579","16,85,83,518.40","12,166"
"04-Aug-2025","EQ","698.00","708.00","691.25","697.60","700.00","698.80","698.43","903.95","578.00","1,30,042","9,08,24,877.75","9,479"
"01-Aug-2025","EQ","700.50","721.00","695.15","704.25","697.10","697.60","706.78","903.95","578.00","2,54,033","17,95,44,247.80","10,085"
"31-Jul-2025","EQ","701.00","710.90","695.00","707.15","707.00","704.25","704.89","903.95","578.00","1,39,384","9,82,50,305.35","8,443"
"30-Jul-2025","EQ","727.00","733.90","701.00","704.30","708.30","707.15","713.59","903.95","578.00","3,11,013","22,19,37,082.35","13,116"
"29-Jul-2025","EQ","714.95","737.00","700.20","709.10","705.00","704.30","717.90","903.95","578.00","3,91,311","28,09,22,865.70","19,651"
"28-Jul-2025","EQ","720.00","728.00","705.10","723.70","712.00","709.10","715.05","903.95","578.00","1,52,329","10,89,22,905.05","10,192"
"25-Jul-2025","EQ","738.65","758.40","720.05","738.65","729.95","723.70","733.38","903.95","578.00","1,41,477","10,37,56,387.45","10,290"
"24-Jul-2025","EQ","735.30","745.70","731.05","731.90","736.00","738.65","737.82","903.95","578.00","66,222","4,88,59,591.55","5,900"
"23-Jul-2025","EQ","740.00","741.40","729.60","740.85","730.30","731.90","732.57","903.95","578.00","56,655","4,15,03,647.85","3,506"
"22-Jul-2025","EQ","742.00","746.10","736.55","735.85","740.30","740.85","741.80","903.95","578.00","82,185","6,09,65,211.20","5,895"
"21-Jul-2025","EQ","730.00","740.05","715.10","733.25","735.50","735.85","729.68","903.95","578.00","1,23,704","9,02,64,876.10","7,737"
"18-Jul-2025","EQ","740.00","755.05","724.95","743.20","731.35","733.25","738.31","903.95","578.00","1,44,021","10,63,31,889.70","9,385"
"17-Jul-2025","EQ","730.00","748.80","726.80","730.80","743.70","743.20","739.76","903.95","578.00","1,15,439","8,53,96,913.00","10,792"
"16-Jul-2025","EQ","740.00","741.10","725.50","737.40","730.00","730.80","731.99","903.95","578.00","1,39,453","10,20,78,169.65","11,559"
"15-Jul-2025","EQ","720.00","750.00","717.30","713.60","735.05","737.40","738.21","903.95","578.00","2,87,843","21,24,89,170.15","13,326"
"14-Jul-2025","EQ","710.85","727.65","699.80","710.10","714.00","713.60","711.51","903.95","578.00","1,57,834","11,22,99,937.55","13,742"
"11-Jul-2025","EQ","732.00","732.20","706.30","733.65","710.85","710.10","713.30","910.00","578.00","1,67,808","11,96,97,732.95","12,923"
"10-Jul-2025","EQ","706.05","745.10","704.50","702.85","734.00","733.65","727.85","910.00","578.00","2,94,835","21,45,96,059.35","15,825"
"09-Jul-2025","EQ","708.30","717.00","701.25","710.05","705.00","702.85","706.53","910.00","578.00","1,28,233","9,06,00,537.35","6,032"
"08-Jul-2025","EQ","717.00","722.95","707.00","715.35","709.60","710.05","710.75","910.00","578.00","90,192","6,41,04,010.70","6,227"
"07-Jul-2025","EQ","719.05","742.35","711.75","719.85","714.50","715.35","724.54","910.00","578.00","1,13,344","8,21,21,755.25","8,997"
"04-Jul-2025","EQ","716.00","725.95","716.00","716.00","720.70","719.85","721.35","936.80","578.00","39,444","2,84,52,916.80","3,802"
"03-Jul-2025","EQ","718.00","724.20","712.05","718.00","715.15","716.00","717.45","936.80","578.00","58,576","4,20,25,515.60","5,128"
"02-Jul-2025","EQ","720.80","730.00","715.05","718.35","716.30","718.00","722.86","936.80","578.00","54,563","3,94,41,465.10","4,641"
"01-Jul-2025","EQ","722.00","725.35","712.20","721.75","719.00","718.35","716.90","936.80","578.00","86,702","6,21,56,867.95","9,346"
"30-Jun-2025","EQ","728.80","729.30","716.45","724.60","722.00","721.75","722.72","936.80","578.00","52,433","3,78,94,196.80","3,836"
"27-Jun-2025","EQ","733.00","737.50","715.95","727.00","723.00","724.60","724.85","936.80","578.00","1,39,644","10,12,21,276.95","6,519"
"26-Jun-2025","EQ","741.70","744.75","723.90","737.05","727.15","727.00","731.19","936.80","578.00","76,439","5,58,91,810.60","6,463"
"25-Jun-2025","EQ","734.50","744.95","730.10","725.85","735.05","737.05","736.93","936.80","578.00","1,45,013","10,68,64,605.70","11,947"
"24-Jun-2025","EQ","720.10","740.00","720.10","714.85","726.15","725.85","730.71","936.80","578.00","88,949","6,49,95,820.25","7,037"
"23-Jun-2025","EQ","705.00","717.20","701.40","714.60","714.40","714.85","710.10","936.80","578.00","1,52,951","10,86,09,888.25","11,667"
"20-Jun-2025","EQ","710.00","723.55","703.25","703.25","711.00","714.60","716.33","936.80","578.00","76,210","5,45,91,616.65","5,205"
"19-Jun-2025","EQ","720.00","720.35","699.15","720.35","702.00","703.25","706.69","936.80","578.00","1,80,374","12,74,68,133.85","13,737"
"18-Jun-2025","EQ","715.00","724.95","705.20","716.40","722.95","720.35","715.65","936.80","578.00","96,430","6,90,10,472.55","8,573"
"17-Jun-2025","EQ","730.25","733.00","714.15","730.25","715.00","716.40","722.69","936.80","578.00","77,094","5,57,15,379.70","9,876"
"16-Jun-2025","EQ","730.00","739.70","715.10","735.10","730.35","730.25","726.19","936.80","578.00","75,664","5,49,46,306.70","6,865"
"13-Jun-2025","EQ","733.95","739.20","721.20","742.85","735.90","735.10","731.62","936.80","578.00","87,295","6,38,66,557.05","9,045"
"12-Jun-2025","EQ","744.50","757.60","739.55","745.35","743.00","742.85","749.20","936.80","578.00","3,19,989","23,97,35,870.55","18,832"
"11-Jun-2025","EQ","753.00","753.55","742.80","751.00","745.20","745.35","745.90","936.80","578.00","1,21,266","9,04,51,752.40","11,935"
"10-Jun-2025","EQ","742.90","765.60","742.05","736.95","752.90","751.00","752.44","936.80","578.00","1,86,916","14,06,42,653.70","11,730"
