ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","169.21","169.29","163.01","169.21","164.80","164.78","166.73","269.95","103.22","1,55,982","2,60,07,360.43","6,374"
"11-Aug-2025","EQ","165.56","171.89","163.82","164.74","169.00","169.21","167.56","269.95","103.22","2,99,947","5,02,59,550.27","9,431"
"08-Aug-2025","EQ","168.35","172.09","163.57","168.35","164.10","164.74","167.67","269.95","103.22","3,26,406","5,47,26,935.99","10,534"
"07-Aug-2025","EQ","167.25","170.05","161.80","169.91","169.70","168.35","165.98","269.95","103.22","8,71,136","14,45,93,836.44","45,864"
"06-Aug-2025","EQ","180.99","180.99","169.00","179.26","169.00","169.91","171.92","269.95","103.22","10,99,247","18,89,77,665.36","21,279"
"05-Aug-2025","EQ","181.00","181.41","176.41","180.01","179.20","179.26","179.03","269.95","103.22","1,96,277","3,51,39,028.64","5,317"
"04-Aug-2025","EQ","181.85","182.20","177.77","182.38","178.78","180.01","180.08","269.95","103.22","2,63,192","4,73,94,747.26","7,335"
"01-Aug-2025","EQ","182.96","187.90","180.10","184.82","180.15","182.38","183.88","269.95","103.22","2,17,001","3,99,01,966.36","6,157"
"31-Jul-2025","EQ","187.16","188.49","183.80","189.46","185.00","184.82","185.62","269.95","103.22","2,84,859","5,28,75,660.41","6,520"
"30-Jul-2025","EQ","184.60","191.12","183.61","182.78","188.52","189.46","187.88","269.95","103.22","6,17,159","11,59,54,466.21","7,945"
"29-Jul-2025","EQ","185.00","185.99","177.86","183.15","182.01","182.78","182.49","269.95","103.22","6,31,661","11,52,70,219.47","17,890"
"28-Jul-2025","EQ","188.80","188.80","181.50","186.92","183.05","183.15","183.84","269.95","103.22","3,38,993","6,23,19,237.41","8,570"
"25-Jul-2025","EQ","189.94","190.98","184.55","189.87","186.99","186.92","186.58","269.95","103.22","3,46,382","6,46,29,057.98","6,992"
