ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","377.30","378.30","375.05","376.40","376.00","375.70","376.41","534.40","328.00","18,89,570","71,12,49,905.85","22,734"
"12-Aug-2025","EQ","378.05","379.25","374.90","377.65","376.25","376.40","377.27","534.40","328.00","17,47,236","65,91,73,914.45","23,177"
"11-Aug-2025","EQ","375.65","380.25","373.50","375.65","377.95","377.65","377.67","534.40","328.00","23,91,804","90,33,08,260.60","28,897"
"08-Aug-2025","EQ","377.00","381.00","374.25","379.90","374.35","375.65","377.52","534.40","328.00","17,17,927","64,85,44,776.30","25,735"
"07-Aug-2025","EQ","380.10","380.40","373.20","381.55","379.85","379.90","377.19","534.40","328.00","24,67,479","93,07,16,209.25","26,885"
"06-Aug-2025","EQ","388.50","391.70","379.70","384.75","380.85","381.55","383.73","534.40","328.00","42,91,389","1,64,67,50,343.50","49,966"
"05-Aug-2025","EQ","391.35","395.50","376.90","390.80","384.90","384.75","385.62","534.40","328.00","66,96,094","2,58,21,66,165.05","79,270"
"04-Aug-2025","EQ","378.50","391.65","376.70","379.25","391.35","390.80","385.99","534.40","328.00","20,81,395","80,34,06,782.00","29,771"
"01-Aug-2025","EQ","384.30","384.70","377.45","384.30","379.00","379.25","380.78","560.00","328.00","20,21,631","76,98,01,218.70","25,627"
"31-Jul-2025","EQ","386.10","389.20","381.20","391.05","383.75","384.30","386.42","560.00","328.00","13,60,355","52,56,68,325.90","19,299"
"30-Jul-2025","EQ","392.30","393.10","388.80","391.70","391.05","391.05","391.04","560.00","328.00","9,98,900","39,06,05,121.00","18,970"
"29-Jul-2025","EQ","381.80","392.80","381.40","382.10","392.25","391.70","389.84","560.00","328.00","21,63,417","84,33,82,971.70","29,106"
"28-Jul-2025","EQ","378.00","386.05","377.30","380.60","382.50","382.10","382.58","560.00","328.00","14,31,163","54,75,31,740.35","24,190"
"25-Jul-2025","EQ","390.00","392.10","379.00","391.20","379.00","380.60","383.79","560.00","328.00","15,23,475","58,46,97,747.90","29,589"
"24-Jul-2025","EQ","392.15","395.80","390.25","391.75","391.45","391.20","393.98","560.00","328.00","17,69,630","69,71,92,975.45","28,960"
"23-Jul-2025","EQ","396.70","398.00","390.80","394.25","391.50","391.75","394.15","560.00","328.00","19,72,865","77,76,03,459.80","29,267"
"22-Jul-2025","EQ","391.00","395.60","388.40","389.10","394.10","394.25","393.65","560.00","328.00","30,11,062","1,18,53,09,727.20","39,978"
"21-Jul-2025","EQ","384.95","392.15","383.55","384.05","389.00","389.10","389.13","560.00","328.00","23,62,755","91,94,25,521.15","37,029"
"18-Jul-2025","EQ","382.95","386.35","379.05","383.55","384.25","384.05","383.03","569.20","328.00","18,45,205","70,67,65,824.10","28,340"
"17-Jul-2025","EQ","383.10","386.60","379.05","385.95","383.55","383.55","382.35","569.20","328.00","20,48,115","78,30,94,968.00","45,495"
"16-Jul-2025","EQ","386.00","386.70","377.55","386.50","386.00","385.95","382.68","569.20","328.00","23,22,273","88,86,91,624.00","30,932"
"15-Jul-2025","EQ","385.00","386.80","383.80","383.35","386.65","386.50","385.88","569.20","328.00","8,99,564","34,71,27,858.30","13,673"
"14-Jul-2025","EQ","380.00","384.00","376.10","380.65","383.55","383.35","381.21","569.20","328.00","9,21,937","35,14,51,846.60","19,886"
"11-Jul-2025","EQ","387.05","388.75","378.60","388.95","379.75","380.65","383.43","585.50","328.00","12,15,932","46,62,19,423.45","24,179"
"10-Jul-2025","EQ","388.45","390.35","386.00","387.50","388.00","388.95","388.53","585.50","328.00","12,55,994","48,79,94,823.90","22,028"
"09-Jul-2025","EQ","388.00","389.95","385.45","388.70","387.20","387.50","387.96","585.50","328.00","16,25,912","63,07,94,153.45","23,654"
"08-Jul-2025","EQ","386.15","389.60","383.00","386.15","387.60","388.70","386.21","585.50","328.00","12,81,125","49,47,88,750.45","20,642"
"07-Jul-2025","EQ","382.55","386.70","381.20","383.45","386.15","386.15","384.92","585.50","328.00","12,59,353","48,47,51,923.50","21,127"
"04-Jul-2025","EQ","382.90","389.30","380.60","382.90","384.45","383.45","384.51","585.50","328.00","22,76,640","87,53,99,529.25","27,822"
"03-Jul-2025","EQ","384.20","385.45","380.95","382.85","381.00","382.90","383.07","585.50","328.00","22,51,237","86,23,89,317.60","28,408"
"02-Jul-2025","EQ","386.00","389.15","381.60","385.85","383.00","382.85","383.67","585.50","328.00","21,83,885","83,78,94,570.80","25,934"
"01-Jul-2025","EQ","388.60","390.85","385.00","387.75","385.65","385.85","386.72","585.50","328.00","7,34,628","28,40,93,698.70","16,886"
"30-Jun-2025","EQ","389.00","391.75","385.50","388.45","389.20","387.75","388.83","585.50","328.00","21,06,918","81,92,27,867.55","28,852"
"27-Jun-2025","EQ","389.95","393.80","388.00","388.85","388.75","388.45","390.32","620.35","328.00","21,41,558","83,58,84,517.40","32,397"
"26-Jun-2025","EQ","387.00","389.65","384.10","385.80","389.00","388.85","386.73","620.35","328.00","24,74,533","95,69,82,826.05","31,654"
"25-Jun-2025","EQ","385.55","390.45","384.15","384.60","385.80","385.80","386.58","620.35","328.00","26,83,521","1,03,73,99,070.05","26,790"
"24-Jun-2025","EQ","382.15","389.50","382.05","378.30","385.00","384.60","386.58","620.35","328.00","20,25,632","78,30,59,062.60","27,601"
"23-Jun-2025","EQ","376.00","382.35","376.00","380.25","378.60","378.30","379.76","620.35","328.00","38,23,423","1,45,19,84,362.90","28,078"
"20-Jun-2025","EQ","373.90","381.60","373.15","374.75","380.40","380.25","379.78","620.35","328.00","30,51,090","1,15,87,30,992.55","29,627"
"19-Jun-2025","EQ","377.00","380.55","370.10","378.15","375.00","374.75","374.44","620.35","328.00","26,04,775","97,53,24,700.75","31,403"
"18-Jun-2025","EQ","381.45","385.60","377.30","382.95","377.90","378.15","380.68","620.35","328.00","10,45,672","39,80,61,753.10","22,186"
"17-Jun-2025","EQ","384.30","385.70","380.20","384.30","381.00","382.95","383.16","620.35","328.00","12,33,370","47,25,72,158.70","21,161"
"16-Jun-2025","EQ","384.85","386.50","377.00","384.85","384.35","384.30","383.57","620.35","328.00","22,48,045","86,22,87,294.85","27,435"
"13-Jun-2025","EQ","377.05","390.35","377.05","394.35","385.20","384.85","386.26","620.35","328.00","17,78,475","68,69,55,966.25","44,796"
"12-Jun-2025","EQ","408.00","408.10","393.00","405.55","393.30","394.35","399.27","620.35","328.00","28,61,344","1,14,24,43,860.75","38,871"
"11-Jun-2025","EQ","402.00","410.00","401.10","403.80","406.30","405.55","406.66","620.35","328.00","35,71,479","1,45,23,77,212.95","39,362"
"10-Jun-2025","EQ","405.00","405.75","397.35","400.80","403.00","403.80","401.94","620.35","328.00","50,33,907","2,02,33,05,954.30","47,140"
"09-Jun-2025","EQ","395.00","401.95","392.15","393.30","401.95","400.80","397.93","620.35","328.00","35,53,688","1,41,41,26,788.70","38,991"
"06-Jun-2025","EQ","391.00","394.50","387.50","391.15","393.45","393.30","391.67","620.35","328.00","18,38,166","71,99,56,911.25","22,418"
"05-Jun-2025","EQ","390.90","393.75","388.20","388.90","390.50","391.15","391.19","620.35","328.00","23,10,114","90,37,04,270.30","23,754"
"04-Jun-2025","EQ","387.00","390.00","382.20","386.20","388.70","388.90","385.88","620.35","328.00","20,78,425","80,20,28,205.65","23,278"
"03-Jun-2025","EQ","387.35","391.90","385.15","387.35","386.50","386.20","387.63","620.35","328.00","14,63,373","56,72,43,941.00","21,519"
"02-Jun-2025","EQ","385.00","392.55","383.10","386.85","387.00","387.35","388.43","620.35","328.00","15,29,009","59,39,14,551.80","26,955"
"30-May-2025","EQ","388.80","390.20","383.15","388.80","386.00","386.85","386.59","620.35","328.00","18,88,195","72,99,50,373.75","31,510"
"29-May-2025","EQ","388.60","390.35","385.50","386.70","389.10","388.80","388.48","620.35","328.00","17,76,816","69,02,52,713.30","19,600"
"28-May-2025","EQ","385.20","388.70","384.10","385.20","386.40","386.70","386.61","620.35","328.00","17,28,672","66,83,17,345.60","21,051"
