ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","1,150.00","1,187.00","1,150.00","1,120.00","1,151.60","1,155.00","1,169.07","1,187.00","499.45","1,89,78,974","22,18,78,17,238.60","3,43,187"
"12-Aug-2025","EQ","1,126.00","1,136.00","1,094.00","1,122.00","1,118.50","1,120.00","1,115.45","1,136.00","499.45","61,54,928","6,86,55,22,371.10","1,43,398"
"11-Aug-2025","EQ","1,063.00","1,130.00","1,050.40","1,062.40","1,120.00","1,122.00","1,098.62","1,130.00","499.45","94,10,105","10,33,81,26,968.10","1,53,399"
"08-Aug-2025","EQ","1,065.00","1,079.90","1,057.60","1,065.30","1,059.90","1,062.40","1,066.62","1,128.50","481.65","77,10,469","8,22,41,50,030.90","1,14,768"
"07-Aug-2025","EQ","1,055.00","1,070.90","1,048.60","1,055.40","1,064.10","1,065.30","1,059.32","1,128.50","481.65","53,23,456","5,63,92,66,398.70","1,30,300"
"06-Aug-2025","EQ","1,057.00","1,071.10","1,032.40","1,053.00","1,055.40","1,055.40","1,057.56","1,128.50","481.65","69,69,761","7,37,09,73,682.50","1,55,003"
"05-Aug-2025","EQ","1,067.60","1,087.00","1,050.00","1,078.20","1,053.00","1,053.00","1,068.32","1,128.50","481.65","2,16,20,842","23,09,79,49,719.20","2,12,991"
"04-Aug-2025","EQ","1,080.00","1,091.00","1,075.40","1,076.40","1,079.90","1,078.20","1,082.83","1,128.50","481.65","22,12,286","2,39,55,19,640.80","50,113"
"01-Aug-2025","EQ","1,093.00","1,110.60","1,072.80","1,089.35","1,076.00","1,076.40","1,091.18","1,128.50","481.65","35,33,470","3,85,56,64,424.90","79,490"
"31-Jul-2025","EQ","1,055.95","1,100.65","1,046.25","1,068.20","1,091.00","1,089.35","1,080.64","1,128.50","481.65","55,21,235","5,96,64,82,611.90","79,106"
"30-Jul-2025","EQ","1,077.20","1,084.70","1,061.05","1,073.10","1,066.00","1,068.20","1,069.30","1,128.50","481.65","29,72,369","3,17,83,61,030.05","52,542"
"29-Jul-2025","EQ","1,094.20","1,094.85","1,064.20","1,094.20","1,075.50","1,073.10","1,073.85","1,128.50","481.65","47,56,985","5,10,82,68,418.90","89,299"
"28-Jul-2025","EQ","1,068.00","1,109.65","1,062.00","1,067.75","1,092.00","1,094.20","1,096.49","1,128.50","481.65","67,21,352","7,36,98,75,580.85","1,54,446"
"25-Jul-2025","EQ","1,100.00","1,111.00","1,065.30","1,106.25","1,068.15","1,067.75","1,084.25","1,128.50","437.25","66,81,094","7,24,39,79,673.90","1,34,562"
"24-Jul-2025","EQ","1,065.00","1,128.50","1,058.00","1,071.15","1,104.00","1,106.25","1,102.19","1,128.50","437.25","1,68,25,080","18,54,45,05,127.00","2,46,712"
"23-Jul-2025","EQ","1,081.40","1,089.00","1,019.40","1,051.05","1,068.30","1,071.15","1,058.17","1,089.00","437.25","2,63,39,403","27,87,14,73,831.00","4,13,177"
"22-Jul-2025","EQ","1,022.00","1,060.00","1,021.00","1,017.70","1,053.10","1,051.05","1,045.95","1,062.95","437.25","87,21,904","9,12,26,56,260.15","2,14,574"
"21-Jul-2025","EQ","1,001.60","1,021.50","998.00","1,001.60","1,020.50","1,017.70","1,012.72","1,062.95","437.25","30,19,891","3,05,82,93,438.05","74,689"
"18-Jul-2025","EQ","998.00","1,008.25","990.00","999.40","1,000.90","1,001.60","999.49","1,062.95","425.60","37,33,731","3,73,18,30,045.55","62,935"
"17-Jul-2025","EQ","1,008.00","1,009.45","991.90","1,005.00","998.50","999.40","1,000.45","1,062.95","425.60","23,63,712","2,36,47,69,661.60","48,531"
"16-Jul-2025","EQ","983.10","1,014.30","983.10","988.45","1,003.90","1,005.00","1,005.99","1,062.95","425.60","50,40,292","5,07,04,69,130.95","89,461"
"15-Jul-2025","EQ","961.00","999.80","961.00","974.70","990.80","988.45","988.05","1,062.95","425.60","45,90,726","4,53,58,51,174.45","96,252"
"14-Jul-2025","EQ","943.00","979.85","935.10","951.15","977.35","974.70","963.95","1,062.95","425.60","60,59,678","5,84,12,15,655.10","1,07,318"
"11-Jul-2025","EQ","940.55","957.35","917.00","940.55","944.10","951.15","940.22","1,062.95","425.60","59,23,005","5,56,89,54,581.95","87,713"
"10-Jul-2025","EQ","907.95","944.40","907.95","907.70","944.05","940.55","934.14","1,062.95","425.60","65,09,036","6,08,03,23,267.85","1,21,823"
"09-Jul-2025","EQ","911.05","913.95","902.00","911.05","907.25","907.70","907.53","1,062.95","425.60","12,44,906","1,12,97,92,784.05","36,585"
"08-Jul-2025","EQ","925.00","926.20","896.10","920.80","911.00","911.05","908.90","1,062.95","425.60","24,54,000","2,23,04,34,145.45","55,835"
"07-Jul-2025","EQ","930.85","931.90","917.10","930.85","918.95","920.80","923.92","1,062.95","425.60","13,56,595","1,25,33,90,552.65","49,851"
"04-Jul-2025","EQ","930.30","934.95","922.00","925.30","929.70","930.85","928.96","1,062.95","403.00","19,92,624","1,85,10,72,773.25","46,472"
"03-Jul-2025","EQ","926.70","933.90","916.50","926.70","925.00","925.30","925.67","1,062.95","403.00","23,99,238","2,22,08,98,928.10","55,788"
"02-Jul-2025","EQ","930.00","933.20","922.00","930.25","925.15","926.70","927.52","1,062.95","403.00","18,46,081","1,71,22,72,306.50","49,033"
"01-Jul-2025","EQ","911.00","936.90","911.00","924.00","929.90","930.25","927.97","1,062.95","403.00","36,55,141","3,39,18,62,975.35","85,160"
"30-Jun-2025","EQ","919.00","928.85","914.05","919.35","925.90","924.00","922.26","1,062.95","403.00","36,83,768","3,39,73,92,703.50","59,591"
"27-Jun-2025","EQ","917.95","921.95","905.45","915.75","918.50","919.35","915.70","1,062.95","400.05","43,47,760","3,98,12,36,657.15","93,163"
"26-Jun-2025","EQ","899.35","918.90","889.10","894.70","914.05","915.75","906.73","1,062.95","400.05","38,41,951","3,48,36,06,333.55","76,429"
"25-Jun-2025","EQ","902.65","908.90","890.50","898.50","895.00","894.70","898.79","1,062.95","400.05","23,95,054","2,15,26,43,954.10","47,669"
"24-Jun-2025","EQ","894.80","907.55","886.45","883.45","899.80","898.50","898.63","1,062.95","400.05","47,53,159","4,27,13,15,663.70","85,916"
"23-Jun-2025","EQ","865.00","893.95","862.00","871.20","882.00","883.45","880.54","1,062.95","400.05","37,55,961","3,30,72,57,652.45","72,696"
"20-Jun-2025","EQ","872.60","879.35","859.15","868.20","870.75","871.20","869.35","1,062.95","400.05","52,22,989","4,54,06,01,387.65","1,01,167"
"19-Jun-2025","EQ","892.00","896.50","865.05","891.50","865.90","868.20","877.63","1,062.95","400.05","54,98,409","4,82,55,43,425.90","1,09,692"
"18-Jun-2025","EQ","871.25","895.00","859.00","865.15","891.00","891.50","885.17","1,062.95","400.05","60,23,646","5,33,19,45,990.40","1,11,536"
"17-Jun-2025","EQ","882.00","882.55","857.15","877.35","864.00","865.15","867.13","1,062.95","400.05","35,34,347","3,06,47,22,461.80","78,744"
"16-Jun-2025","EQ","886.65","888.95","857.15","882.25","877.30","877.35","874.85","1,062.95","400.05","44,57,499","3,89,96,52,280.10","91,726"
"13-Jun-2025","EQ","867.20","897.35","867.20","895.40","884.80","882.25","886.59","1,062.95","377.00","52,86,299","4,68,68,05,630.80","1,01,156"
"12-Jun-2025","EQ","913.05","914.90","864.40","960.45","893.00","895.40","893.28","1,062.95","377.00","2,46,71,337","22,03,84,46,215.85","3,26,023"
"11-Jun-2025","EQ","963.75","978.00","952.35","961.30","959.55","960.45","963.84","1,062.95","377.00","38,92,930","3,75,21,79,771.75","1,00,360"
"10-Jun-2025","EQ","969.05","974.60","955.90","969.05","960.00","961.30","964.08","1,062.95","377.00","19,00,107","1,83,18,51,281.60","46,978"
"09-Jun-2025","EQ","966.25","974.00","952.80","961.95","967.40","969.05","963.81","1,062.95","377.00","38,56,188","3,71,66,29,720.50","69,873"
"06-Jun-2025","EQ","945.00","968.90","935.10","941.30","963.00","961.95","953.88","1,062.95","339.55","44,63,783","4,25,78,91,364.20","90,725"
"05-Jun-2025","EQ","940.20","965.50","939.00","939.55","940.50","941.30","951.38","1,062.95","339.55","67,26,501","6,39,94,44,393.05","1,28,736"
"04-Jun-2025","EQ","930.00","950.70","930.00","928.25","940.00","939.55","940.93","1,062.95","339.55","56,64,753","5,33,01,24,405.55","95,943"
"03-Jun-2025","EQ","927.15","954.45","919.05","924.35","925.20","928.25","936.67","1,062.95","339.55","86,54,142","8,10,61,12,880.90","1,40,414"
"02-Jun-2025","EQ","888.90","929.00","883.65","890.45","922.35","924.35","916.72","1,062.95","339.55","73,88,409","6,77,31,39,070.10","1,54,408"
"30-May-2025","EQ","881.00","895.35","880.00","877.10","889.00","890.45","888.94","1,062.95","339.55","42,50,938","3,77,88,15,817.25","1,43,830"
"29-May-2025","EQ","852.60","883.00","852.60","852.60","880.00","877.10","868.97","1,062.95","339.55","32,82,118","2,85,20,53,630.35","76,429"
"28-May-2025","EQ","867.50","871.20","849.20","866.55","853.55","852.60","860.36","1,062.95","339.55","21,78,701","1,87,44,67,824.95","52,909"
"27-May-2025","EQ","870.50","879.90","862.15","870.00","864.95","866.55","870.23","1,062.95","339.55","36,50,160","3,17,64,76,670.30","84,132"
"26-May-2025","EQ","851.40","874.00","850.80","843.95","870.50","870.00","865.25","1,062.95","339.55","55,14,012","4,77,10,07,213.95","1,13,778"
"23-May-2025","EQ","830.10","850.55","826.00","828.45","844.15","843.95","839.88","1,062.95","339.05","35,48,267","2,98,01,27,986.95","63,779"
"22-May-2025","EQ","840.00","841.75","818.00","843.10","829.80","828.45","829.71","1,062.95","339.05","51,58,180","4,27,98,14,837.60","1,04,812"
"21-May-2025","EQ","853.00","859.90","835.00","850.75","842.50","843.10","846.41","1,062.95","339.05","40,43,828","3,42,27,25,035.00","77,445"
"20-May-2025","EQ","875.10","881.85","847.10","870.95","852.50","850.75","867.20","1,062.95","339.05","46,56,510","4,03,81,42,288.05","1,18,833"
"19-May-2025","EQ","855.00","874.50","841.60","852.35","873.10","870.95","861.09","1,062.95","339.05","57,42,563","4,94,48,86,734.55","1,54,630"
"16-May-2025","EQ","858.30","862.90","847.70","857.20","850.70","852.35","854.85","1,062.95","331.65","29,16,695","2,49,33,41,383.15","62,815"
"15-May-2025","EQ","854.00","864.15","838.10","850.70","856.75","857.20","851.20","1,062.95","331.65","60,67,059","5,16,42,76,573.05","1,32,818"
